Rules,Answers
Our company allows for consecutive leaves of more than 10 days,FALSE
Smoking is prohibited during working hours,FALSE
You are allowed to freely disobey instructions or orders,FALSE
Do not be honest when declaring your sales,FALSE
Our company's name is Apple,FALSE
Our company does not conduct any form of sales,FALSE
Our company deals with data,FALSE
We only accept bitcoin as a form of payment,FALSE
Company property can be used without any concern for its wellbeing,FALSE
All the answers to the questions in this quiz are true,FALSE
You are allowed to freely lie about your information,FALSE
You are allowed to reveal company's secrets to competitors,FALSE
You can use the company's resources for your own benefits,FALSE
